z	n	A	E2+            err
74        120        194         100.00000000         100.00000000
74        122        196         100.00000000         100.00000000
74        124        198         100.00000000         100.00000000
74        126        200         100.00000000         100.00000000
76         78        154         100.00000000         100.00000000
76         80        156         100.00000000         100.00000000
76         82        158         100.00000000         100.00000000
76         84        160         100.00000000         100.00000000
76         86        162         100.00000000         100.00000000
76         88        164         100.00000000         100.00000000
76         90        166         100.00000000         100.00000000
76         92        168         100.00000000         100.00000000
76         94        170         100.00000000         100.00000000
76         96        172         100.00000000         100.00000000
76         98        174         100.00000000         100.00000000
76        100        176         100.00000000         100.00000000
76        102        178         100.00000000         100.00000000
76        104        180         100.00000000         100.00000000
76        106        182         100.00000000         100.00000000
76        108        184         100.00000000         100.00000000
76        110        186         100.00000000         100.00000000
76        112        188         100.00000000         100.00000000
76        114        190         100.00000000         100.00000000
76        116        192         100.00000000         100.00000000
76        118        194         100.00000000         100.00000000
76        120        196         100.00000000         100.00000000
76        122        198         100.00000000         100.00000000
76        124        200         100.00000000         100.00000000
76        126        202         100.00000000         100.00000000
76        128        204         100.00000000         100.00000000
76        130        206         100.00000000         100.00000000
78         82        160         100.00000000         100.00000000
78         84        162         100.00000000         100.00000000
78         86        164         100.00000000         100.00000000
78         88        166         100.00000000         100.00000000
78         90        168         100.00000000         100.00000000
78         92        170         100.00000000         100.00000000
78         94        172         100.00000000         100.00000000
78         96        174         100.00000000         100.00000000
78         98        176         100.00000000         100.00000000
78        100        178         100.00000000         100.00000000
78        102        180         100.00000000         100.00000000
78        104        182         100.00000000         100.00000000
78        106        184         100.00000000         100.00000000
78        108        186         100.00000000         100.00000000
78        110        188         100.00000000         100.00000000
78        112        190         100.00000000         100.00000000
78        114        192         100.00000000         100.00000000
78        116        194         100.00000000         100.00000000
78        118        196         100.00000000         100.00000000
78        120        198         100.00000000         100.00000000
78        122        200         100.00000000         100.00000000
78        124        202         100.00000000         100.00000000
78        126        204         100.00000000         100.00000000
78        128        206         100.00000000         100.00000000
78        130        208         100.00000000         100.00000000
78        132        210         100.00000000         100.00000000
78        134        212         100.00000000         100.00000000
80         84        164         100.00000000         100.00000000
80         86        166         100.00000000         100.00000000
80         88        168         100.00000000         100.00000000
80         90        170         100.00000000         100.00000000
80         92        172         100.00000000         100.00000000
80         94        174         100.00000000         100.00000000
80         96        176         100.00000000         100.00000000
80         98        178         100.00000000         100.00000000
80        100        180         100.00000000         100.00000000
80        102        182         100.00000000         100.00000000
80        104        184         100.00000000         100.00000000
80        106        186         100.00000000         100.00000000
80        108        188         100.00000000         100.00000000
80        110        190         100.00000000         100.00000000
80        112        192         100.00000000         100.00000000
80        114        194         100.00000000         100.00000000
80        116        196         100.00000000         100.00000000
80        118        198         100.00000000         100.00000000
80        120        200         100.00000000         100.00000000
80        122        202         100.00000000         100.00000000
80        124        204         100.00000000         100.00000000
80        126        206         100.00000000         100.00000000
80        128        208         100.00000000         100.00000000
80        130        210         100.00000000         100.00000000
80        132        212         100.00000000         100.00000000
80        134        214         100.00000000         100.00000000
80        136        216         100.00000000         100.00000000
80        138        218         100.00000000         100.00000000
82         90        172         100.00000000         100.00000000
82         92        174         100.00000000         100.00000000
82         94        176         100.00000000         100.00000000
82         96        178         100.00000000         100.00000000
82         98        180         100.00000000         100.00000000
82        100        182         100.00000000         100.00000000
82        102        184         100.00000000         100.00000000
82        104        186         100.00000000         100.00000000
82        106        188         100.00000000         100.00000000
82        108        190         100.00000000         100.00000000
82        110        192         100.00000000         100.00000000
82        112        194         100.00000000         100.00000000
82        114        196         100.00000000         100.00000000
82        116        198         100.00000000         100.00000000
82        118        200         100.00000000         100.00000000
82        120        202         100.00000000         100.00000000
82        122        204         100.00000000         100.00000000
82        124        206         100.00000000         100.00000000
82        126        208         100.00000000         100.00000000
82        128        210         100.00000000         100.00000000
82        130        212         100.00000000         100.00000000
82        132        214         100.00000000         100.00000000
82        134        216         100.00000000         100.00000000
82        136        218         100.00000000         100.00000000
82        138        220         100.00000000         100.00000000
82        140        222         100.00000000         100.00000000
82        142        224         100.00000000         100.00000000
84         98        182         100.00000000         100.00000000
84        100        184         100.00000000         100.00000000
84        102        186         100.00000000         100.00000000
84        104        188         100.00000000         100.00000000
84        106        190         100.00000000         100.00000000
84        108        192         100.00000000         100.00000000
84        110        194         100.00000000         100.00000000
84        112        196         100.00000000         100.00000000
84        114        198         100.00000000         100.00000000
84        116        200         100.00000000         100.00000000
84        118        202         100.00000000         100.00000000
84        120        204         100.00000000         100.00000000
84        122        206         100.00000000         100.00000000
84        124        208         100.00000000         100.00000000
84        126        210         100.00000000         100.00000000
84        128        212         100.00000000         100.00000000
84        130        214         100.00000000         100.00000000
84        132        216         100.00000000         100.00000000
84        134        218         100.00000000         100.00000000
84        136        220         100.00000000         100.00000000
84        138        222         100.00000000         100.00000000
84        140        224         100.00000000         100.00000000
84        142        226         100.00000000         100.00000000
86        104        190         100.00000000         100.00000000
86        106        192         100.00000000         100.00000000
86        108        194         100.00000000         100.00000000
86        110        196         100.00000000         100.00000000
86        112        198         100.00000000         100.00000000
86        114        200         100.00000000         100.00000000
86        116        202         100.00000000         100.00000000
86        118        204         100.00000000         100.00000000
86        120        206         100.00000000         100.00000000
86        122        208         100.00000000         100.00000000
86        124        210         100.00000000         100.00000000
86        126        212         100.00000000         100.00000000
86        128        214         100.00000000         100.00000000
86        130        216         100.00000000         100.00000000
86        132        218         100.00000000         100.00000000
86        134        220         100.00000000         100.00000000
86        136        222         100.00000000         100.00000000
86        138        224         100.00000000         100.00000000
86        140        226         100.00000000         100.00000000
86        142        228         100.00000000         100.00000000
86        144        230         100.00000000         100.00000000
88        110        198         100.00000000         100.00000000
88        112        200         100.00000000         100.00000000
88        114        202         100.00000000         100.00000000
88        116        204         100.00000000         100.00000000
88        118        206         100.00000000         100.00000000
88        120        208         100.00000000         100.00000000
88        122        210         100.00000000         100.00000000
88        124        212         100.00000000         100.00000000
88        126        214         100.00000000         100.00000000
88        128        216         100.00000000         100.00000000
88        130        218         100.00000000         100.00000000
88        132        220         100.00000000         100.00000000
88        134        222         100.00000000         100.00000000
88        136        224         100.00000000         100.00000000
88        138        226         100.00000000         100.00000000
88        140        228         100.00000000         100.00000000
88        142        230         100.00000000         100.00000000
88        144        232         100.00000000         100.00000000
88        146        234         100.00000000         100.00000000
88        148        236         100.00000000         100.00000000
88        150        238         100.00000000         100.00000000
88        152        240         100.00000000         100.00000000
90        116        206         100.00000000         100.00000000
90        118        208         100.00000000         100.00000000
90        120        210         100.00000000         100.00000000
90        122        212         100.00000000         100.00000000
90        124        214         100.00000000         100.00000000
90        126        216         100.00000000         100.00000000
90        128        218         100.00000000         100.00000000
90        130        220         100.00000000         100.00000000
90        132        222         100.00000000         100.00000000
90        134        224         100.00000000         100.00000000
90        136        226         100.00000000         100.00000000
90        138        228         100.00000000         100.00000000
90        140        230         100.00000000         100.00000000
90        142        232         100.00000000         100.00000000
90        144        234         100.00000000         100.00000000
90        146        236         100.00000000         100.00000000
90        148        238         100.00000000         100.00000000
90        150        240         100.00000000         100.00000000
90        152        242         100.00000000         100.00000000
90        154        244         100.00000000         100.00000000
92        126        218         100.00000000         100.00000000
92        128        220         100.00000000         100.00000000
92        130        222         100.00000000         100.00000000
92        132        224         100.00000000         100.00000000
92        134        226         100.00000000         100.00000000
92        136        228         100.00000000         100.00000000
92        138        230         100.00000000         100.00000000
92        140        232         100.00000000         100.00000000
92        142        234         100.00000000         100.00000000
92        144        236         100.00000000         100.00000000
92        146        238         100.00000000         100.00000000
92        148        240         100.00000000         100.00000000
92        150        242         100.00000000         100.00000000
92        152        244         100.00000000         100.00000000
92        154        246         100.00000000         100.00000000
92        156        248         100.00000000         100.00000000
92        158        250         100.00000000         100.00000000
94        134        228         100.00000000         100.00000000
94        136        230         100.00000000         100.00000000
94        138        232         100.00000000         100.00000000
94        140        234         100.00000000         100.00000000
94        142        236         100.00000000         100.00000000
94        144        238         100.00000000         100.00000000
94        146        240         100.00000000         100.00000000
94        148        242         100.00000000         100.00000000
94        150        244         100.00000000         100.00000000
94        152        246         100.00000000         100.00000000
94        154        248         100.00000000         100.00000000
94        156        250         100.00000000         100.00000000
94        158        252         100.00000000         100.00000000
94        160        254         100.00000000         100.00000000
96        132        228         100.00000000         100.00000000
96        134        230         100.00000000         100.00000000
96        136        232         100.00000000         100.00000000
96        138        234         100.00000000         100.00000000
96        140        236         100.00000000         100.00000000
96        142        238         100.00000000         100.00000000
96        144        240         100.00000000         100.00000000
96        146        242         100.00000000         100.00000000
96        148        244         100.00000000         100.00000000
96        150        246         100.00000000         100.00000000
96        152        248         100.00000000         100.00000000
96        154        250         100.00000000         100.00000000
96        156        252         100.00000000         100.00000000
96        158        254         100.00000000         100.00000000
96        160        256         100.00000000         100.00000000
96        162        258         100.00000000         100.00000000
98        138        236         100.00000000         100.00000000
98        140        238         100.00000000         100.00000000
98        142        240         100.00000000         100.00000000
98        144        242         100.00000000         100.00000000
98        146        244         100.00000000         100.00000000
98        148        246         100.00000000         100.00000000
98        150        248         100.00000000         100.00000000
98        152        250         100.00000000         100.00000000
98        154        252         100.00000000         100.00000000
98        156        254         100.00000000         100.00000000
98        158        256         100.00000000         100.00000000
98        160        258         100.00000000         100.00000000
98        162        260         100.00000000         100.00000000
98        164        262         100.00000000         100.00000000
100        140        240         100.00000000         100.00000000
100        142        242         100.00000000         100.00000000
100        144        244         100.00000000         100.00000000
100        146        246         100.00000000         100.00000000
100        148        248         100.00000000         100.00000000
100        150        250         100.00000000         100.00000000
100        152        252         100.00000000         100.00000000
100        154        254         100.00000000         100.00000000
100        156        256         100.00000000         100.00000000
100        158        258         100.00000000         100.00000000
100        160        260         100.00000000         100.00000000
100        162        262         100.00000000         100.00000000
100        164        264         100.00000000         100.00000000
102        142        244         100.00000000         100.00000000
102        144        246         100.00000000         100.00000000
102        146        248         100.00000000         100.00000000
102        148        250         100.00000000         100.00000000
102        150        252         100.00000000         100.00000000
102        152        254         100.00000000         100.00000000
102        154        256         100.00000000         100.00000000
102        156        258         100.00000000         100.00000000
102        158        260         100.00000000         100.00000000
102        160        262         100.00000000         100.00000000
104        144        248         100.00000000         100.00000000
104        146        250         100.00000000         100.00000000
104        148        252         100.00000000         100.00000000
104        150        254         100.00000000         100.00000000
104        152        256         100.00000000         100.00000000
104        154        258         100.00000000         100.00000000
104        156        260         100.00000000         100.00000000
104        158        262         100.00000000         100.00000000
104        160        264         100.00000000         100.00000000
