z	n	A	E2+            err
22         28         50         100.00000000         100.00000000
22         30         52         100.00000000         100.00000000
22         32         54         100.00000000         100.00000000
22         34         56         100.00000000         100.00000000
22         36         58         100.00000000         100.00000000
22         38         60         100.00000000         100.00000000
22         40         62         100.00000000         100.00000000
22         42         64         100.00000000         100.00000000
22         44         66         100.00000000         100.00000000
22         46         68         100.00000000         100.00000000
24         14         38         100.00000000         100.00000000
24         16         40         100.00000000         100.00000000
24         18         42         100.00000000         100.00000000
24         20         44         100.00000000         100.00000000
24         22         46         100.00000000         100.00000000
24         24         48         100.00000000         100.00000000
24         26         50         100.00000000         100.00000000
24         28         52         100.00000000         100.00000000
24         30         54         100.00000000         100.00000000
24         32         56         100.00000000         100.00000000
24         34         58         100.00000000         100.00000000
24         36         60         100.00000000         100.00000000
24         38         62         100.00000000         100.00000000
24         40         64         100.00000000         100.00000000
24         42         66         100.00000000         100.00000000
24         44         68         100.00000000         100.00000000
24         46         70         100.00000000         100.00000000
24         48         72         100.00000000         100.00000000
24         50         74         100.00000000         100.00000000
26         14         40         100.00000000         100.00000000
26         16         42         100.00000000         100.00000000
26         18         44         100.00000000         100.00000000
26         20         46         100.00000000         100.00000000
26         22         48         100.00000000         100.00000000
26         24         50         100.00000000         100.00000000
26         26         52         100.00000000         100.00000000
26         28         54         100.00000000         100.00000000
26         30         56         100.00000000         100.00000000
26         32         58         100.00000000         100.00000000
26         34         60         100.00000000         100.00000000
26         36         62         100.00000000         100.00000000
26         38         64         100.00000000         100.00000000
26         40         66         100.00000000         100.00000000
26         42         68         100.00000000         100.00000000
26         44         70         100.00000000         100.00000000
26         46         72         100.00000000         100.00000000
26         48         74         100.00000000         100.00000000
26         50         76         100.00000000         100.00000000
26         52         78         100.00000000         100.00000000
28         16         44         100.00000000         100.00000000
28         18         46         100.00000000         100.00000000
28         20         48         100.00000000         100.00000000
28         22         50         100.00000000         100.00000000
28         24         52         100.00000000         100.00000000
28         26         54         100.00000000         100.00000000
28         28         56         100.00000000         100.00000000
28         30         58         100.00000000         100.00000000
28         32         60         100.00000000         100.00000000
28         34         62         100.00000000         100.00000000
28         36         64         100.00000000         100.00000000
28         38         66         100.00000000         100.00000000
28         40         68         100.00000000         100.00000000
28         42         70         100.00000000         100.00000000
28         44         72         100.00000000         100.00000000
28         46         74         100.00000000         100.00000000
28         48         76         100.00000000         100.00000000
28         50         78         100.00000000         100.00000000
28         52         80         100.00000000         100.00000000
28         54         82         100.00000000         100.00000000
28         56         84         100.00000000         100.00000000
28         58         86         100.00000000         100.00000000
30         20         50         100.00000000         100.00000000
30         22         52         100.00000000         100.00000000
30         24         54         100.00000000         100.00000000
30         26         56         100.00000000         100.00000000
30         28         58         100.00000000         100.00000000
30         30         60         100.00000000         100.00000000
30         32         62         100.00000000         100.00000000
30         34         64         100.00000000         100.00000000
30         36         66         100.00000000         100.00000000
30         38         68         100.00000000         100.00000000
30         40         70         100.00000000         100.00000000
30         42         72         100.00000000         100.00000000
30         44         74         100.00000000         100.00000000
30         46         76         100.00000000         100.00000000
30         48         78         100.00000000         100.00000000
30         50         80         100.00000000         100.00000000
30         52         82         100.00000000         100.00000000
30         54         84         100.00000000         100.00000000
30         56         86         100.00000000         100.00000000
30         58         88         100.00000000         100.00000000
30         60         90         100.00000000         100.00000000
32         24         56         100.00000000         100.00000000
32         26         58         100.00000000         100.00000000
32         28         60         100.00000000         100.00000000
32         30         62         100.00000000         100.00000000
32         32         64         100.00000000         100.00000000
32         34         66         100.00000000         100.00000000
32         36         68         100.00000000         100.00000000
32         38         70         100.00000000         100.00000000
32         40         72         100.00000000         100.00000000
32         42         74         100.00000000         100.00000000
32         44         76         100.00000000         100.00000000
32         46         78         100.00000000         100.00000000
32         48         80         100.00000000         100.00000000
32         50         82         100.00000000         100.00000000
32         52         84         100.00000000         100.00000000
32         54         86         100.00000000         100.00000000
32         56         88         100.00000000         100.00000000
32         58         90         100.00000000         100.00000000
32         60         92         100.00000000         100.00000000
32         62         94         100.00000000         100.00000000
34         24         58         100.00000000         100.00000000
34         26         60         100.00000000         100.00000000
34         28         62         100.00000000         100.00000000
34         30         64         100.00000000         100.00000000
34         32         66         100.00000000         100.00000000
34         34         68         100.00000000         100.00000000
34         36         70         100.00000000         100.00000000
34         38         72         100.00000000         100.00000000
34         40         74         100.00000000         100.00000000
34         42         76         100.00000000         100.00000000
34         44         78         100.00000000         100.00000000
34         46         80         100.00000000         100.00000000
34         48         82         100.00000000         100.00000000
34         50         84         100.00000000         100.00000000
34         52         86         100.00000000         100.00000000
34         54         88         100.00000000         100.00000000
34         56         90         100.00000000         100.00000000
34         58         92         100.00000000         100.00000000
34         60         94         100.00000000         100.00000000
34         62         96         100.00000000         100.00000000
34         64         98         100.00000000         100.00000000
36         28         64         100.00000000         100.00000000
36         30         66         100.00000000         100.00000000
36         32         68         100.00000000         100.00000000
36         34         70         100.00000000         100.00000000
36         36         72         100.00000000         100.00000000
36         38         74         100.00000000         100.00000000
36         40         76         100.00000000         100.00000000
36         42         78         100.00000000         100.00000000
36         44         80         100.00000000         100.00000000
36         46         82         100.00000000         100.00000000
36         48         84         100.00000000         100.00000000
36         50         86         100.00000000         100.00000000
36         52         88         100.00000000         100.00000000
36         54         90         100.00000000         100.00000000
36         56         92         100.00000000         100.00000000
36         58         94         100.00000000         100.00000000
36         60         96         100.00000000         100.00000000
36         62         98         100.00000000         100.00000000
36         64        100         100.00000000         100.00000000
36         66        102         100.00000000         100.00000000
36         68        104         100.00000000         100.00000000
36         70        106         100.00000000         100.00000000
36         72        108         100.00000000         100.00000000
38         28         66         100.00000000         100.00000000
38         30         68         100.00000000         100.00000000
38         32         70         100.00000000         100.00000000
38         34         72         100.00000000         100.00000000
38         36         74         100.00000000         100.00000000
38         38         76         100.00000000         100.00000000
38         40         78         100.00000000         100.00000000
38         42         80         100.00000000         100.00000000
38         44         82         100.00000000         100.00000000
38         46         84         100.00000000         100.00000000
