    z	n	A	secondTwoPlusEnergy	err
    58      72     130          834.55000000           1.00000000 
    60      72     132          823.54000000           1.00000000 
    44      74     118          647.80000000           1.00000000 
    48      74     122         1367.80000000           1.00000000 
    50      74     124         2129.59600000           1.00000000 
    52      74     126         1420.18600000           1.00000000 
    54      74     128          969.47500000           1.00000000 
    56      74     130          908.02000000           1.00000000 
    58      74     132          822.17000000           1.00000000 
    60      74     134          753.86000000           1.00000000 
    62      74     136          712.88000000           1.00000000 
    48      76     124         1427.60000000           1.00000000 
    50      76     126         2110.79000000           1.00000000 
    52      76     128         1519.99500000           1.00000000 
    54      76     130         1122.11200000           1.00000000 
    56      76     132         1031.67200000           1.00000000 
    58      76     134          965.66000000           1.00000000 
    60      76     136          862.45000000           1.00000000 
    62      76     138          745.69000000           1.00000000 
    64      76     140          713.30000000           1.00000000 
    48      78     126         1579.17000000           1.00000000 
    50      78     128         2104.07000000           1.00000000 
    52      78     130         1588.25600000           1.00000000 
    54      78     132         1297.91200000           1.00000000 
    56      78     134         1167.96800000           1.00000000 
    58      78     136         1091.88000000           1.00000000 
    60      78     138         1013.80000000           1.00000000 
    62      78     140          990.37000000           1.00000000 
    64      78     142          980.03000000           1.00000000 
    50      80     130         2028.31000000           1.00000000 
    52      80     132         1665.23000000           1.00000000 
    54      80     134         1613.77000000           1.00000000 
    56      80     136         1550.98700000           1.00000000 
    58      80     138         1510.80000000           1.00000000 
    60      80     140         1414.00000000           1.00000000 
    62      80     142         1657.79000000           1.00000000 
    64      80     144         1876.41000000           1.00000000 
    52      82     134         2464.93000000           1.00000000 
    54      82     136         2289.55000000           1.00000000 
    56      82     138         2189.86100000           1.00000000 
    58      82     140         2347.88100000           1.00000000 
    60      82     142         2384.33900000           1.00000000 
    62      82     144         2423.20800000           1.00000000 
    64      82     146         2986.40000000           1.00000000 
    52      84     136         1568.36000000           1.00000000 
    54      84     138         1463.99000000           1.00000000 
    56      84     140         1510.68000000           1.00000000 
    58      84     142         1536.33000000           1.00000000 
    60      84     144         1560.92000000           1.00000000 
    62      84     146         1647.98000000           1.00000000 
    64      84     148         1834.59000000           1.00000000 
    66      84     150         1786.37000000           1.00000000 
    68      84     152         1715.40000000           1.00000000 
    72      84     156         1454.20000000           1.00000000 
    56      86     142         1424.06000000           1.00000000 
    58      86     144         1489.00000000           1.00000000 
    60      86     146         1303.20000000           1.00000000 
    62      86     148         1454.11500000           1.00000000 
    64      86     150         1430.46700000           1.00000000 
    66      86     152         1313.70000000           1.00000000 
    56      88     144         1848.16000000           1.00000000 
    58      88     146         1274.34000000           1.00000000 
    60      88     148         1170.95000000           1.00000000 
